edad,genero,institucion,area_residencia,año_escolar,idiomas,edu_padres,ingreso_familiar,interes_cientifico_texto,actividades_gustan_texto,asignaturas_texto,carrera_texto,influencia_carrera_texto,likert_apoyo_maestros,opinion_amigos,likert_apoyo_familia,obstaculos_texto,sectores_interes_texto,likert_optimismo,likert_estabilidad_eco,impacto_esperado,likert_percep_tecnologia,area_tecnol_importante,likert_prob_steam,nivel_informacion_steam,genero_num,institucion_num,area_residencia_num,año_escolar_num,idiomas_num,edu_padres_num,ingreso_familiar_num,opinion_amigos_num,obstaculos_texto_num,sectores_interes_texto_num,impacto_esperado_num,area_tecnol_importante_num,nivel_informacion_steam_num,R_q9_herramientas,R_q9_bricolaje,R_q9_mecanica,I_q9_seres_vivos,I_q9_ingenieria,I_q9_fenómenos,I_q9_ajedrez,I_q9_ciencia_ficcion,I_q9_misterios,I_q9_novelas_detectives,A_q9_productos_artisticos,A_q9_arte_belleza_visual,A_q9_actividades_artisticas,I_q10_analisis_datos,I_q10_descubrimientos_cient,I_q10_explorar_tecnologia,R_q10_problemas_software,R_q10_diseño_construccion,I_q10_problemas_creativos,A_q10_artes_visuales,A_q10_retroalim_arte,I_q10_estadistica,I_q10_problemas_matematicos,I_q11_matematicas,I_q11_biologia,I_q11_fisica,I_q11_quimica,R_q11_tecnologia,A_q11_arte,I_q12_investigador_cientifico,R_q12_desarrollador_software,R_q12_ingeniero_civil,A_q12_artista_digital,I_q12_matematico,q12_otros,q13_familia,q13_maestros,q13_amigos,q13_redes_sociales,q13_nadie_particular,q13_no_especifica,q23_salud,q23_energia,q23_educacion,q23_transporte,q23_medio_ambiente,likert_apoyo_maestros_binario,opinion_amigos_binario,likert_apoyo_familia_binario,likert_optimismo_binario,likert_estabilidad_eco_binario,likert_percep_tecnologia_binario,likert_prob_steam_binario,nivel_informacion_steam_binario
16,Femenino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Bachillerato,$2000 - $3000,"Me interesa investigar fenómenos físicos, biológicos y/o culturales para entender sus causas y efectos., Encuentros fascinantes los misterios sin resolver y me gusta buscar soluciones lógicas y científicas para resolverlos., Me gusta leer novelas de detectives y explorar el razonamiento detrás de los casos y las soluciones propuestas., Me interesa trabajar con materiales físicos (como pinturas, arcilla, telas) para crear productos artísticos., Disfruto explorando temas relacionados con arte y belleza visual en diferentes formas de expresión (dibujo, pintura, escultura)., Disfruto de actividades artísticas como la música, el teatro o la literatura que involucran la creación de obras y expresiones creativas.","Analizar datos para encontrar patrones y conclusiones., Aprender sobre nuevos descubrimientos científicos., Crear obras artísticas como pinturas, dibujos o esculturas.","Biología,  Química,  Arte",Otros,Familia,3,Positivo,5,Falta de recursos educativos,Salud,5,4,Mejorar la calidad de vida de las personas,3,Salud,5,Muyinformado/a,0,0,0,3,1,3,4,4,1,1,1,1,5,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1
15,Masculino,VICENTE ANDA AGUIRRE,Rural,Primero de bachillerato,Español,Bachillerato,$501 - $1000,"Me interesa trabajar con herramientas, máquinas y equipos.",Analizar datos para encontrar patrones y conclusiones.,"Física,  Tecnología,  Arte",Desarrollador/a de software,"Familia,  Maestros,  Nadie en particular",3,Neutro,5,Dificultad en las materias,Tecnología,5,5,No estoy seguro(a),5,Energía,5,Muyinformado/a,1,0,0,1,1,3,2,3,3,2,5,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1
16,Femenino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Bachillerato,$2000 - $3000,"Disfruto arreglando o construyendo cosas físicas (por ejemplo, reparaciones en casa, proyectos de bricolaje)., Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas., Encuentros fascinantes los misterios sin resolver y me gusta buscar soluciones lógicas y científicas para resolverlos., Me gusta leer novelas de detectives y explorar el razonamiento detrás de los casos y las soluciones propuestas., Me interesa trabajar con materiales físicos (como pinturas, arcilla, telas) para crear productos artísticos., Disfruto de actividades artísticas como la música, el teatro o la literatura que involucran la creación de obras y expresiones creativas.","Analizar datos para encontrar patrones y conclusiones., Aprender sobre nuevos descubrimientos científicos., Crear obras artísticas como pinturas, dibujos o esculturas.","Biología,  Arte",Otros,Nadie en particular,5,Neutro,5,Falta de recursos educativos,Salud,5,5,Mejorar la calidad de vida de las personas,4,Salud,5,Muyinformado/a,0,0,0,3,1,3,4,3,1,1,1,1,5,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1
17,Masculino,VICENTE ANDA AGUIRRE,Urbana,Tercero de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos.","Crear obras artísticas como pinturas, dibujos o esculturas.",Biología,Ingeniero/a civil,Redes sociales,5,Positivo,5,Dificultad en las materias,Educación (T/S/A),1,5,Mejorar la calidad de vida de las personas,1,Salud,5,Muyinformado/a,1,0,1,3,1,3,1,4,3,5,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1
18,Masculino,VICENTE ANDA AGUIRRE,Urbana,Tercero de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto arreglando o construyendo cosas físicas (por ejemplo, reparaciones en casa, proyectos de bricolaje)., Encuentro fascinante la ingeniería y cómo se utiliza para diseñar y construir soluciones prácticas a problemas cotidianos y globales.","Aprender sobre nuevos descubrimientos científicos., Resolver problemas complejos de manera creativa., Analizar datos y realizar interpretaciones estadísticas",Física,Ingeniero/a civil,Familia,1,Positivo,5,Dificultad en las materias,Salud,5,5,No estoy seguro(a),5,Salud,5,Muyinformado/a,1,0,1,3,1,3,1,4,3,1,5,1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
14,Femenino,VICENTE ANDA AGUIRRE,Urbana,Primero de bachillerato,Español,Bachillerato,Menos de $500,"Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas.",Resolver problemas usando herramientas y software tecnológico.,Química,Desarrollador/a de software,Familia,5,Positivo,4,Dificultad en las materias,Salud,3,5,Mejorar la calidad de vida de las personas,3,Educación,3,Muyinformado/a,0,0,1,1,1,3,1,4,3,1,1,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1
15,Femenino,VICENTE ANDA AGUIRRE,Urbana,Primero de bachillerato,Español,Bachillerato,Menos de $500,Disfruto explorando temas relacionados con ciencia ficción y avances científicos futuristas.,Resolver problemas complejos de manera creativa.,Arte,Artista digital,Familia,4,Positivo,4,Falta de recursos educativos,Salud,2,5,Mejorar la calidad de vida de las personas,4,Salud,4,Muyinformado/a,0,0,1,1,1,3,1,4,1,1,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1
17,Masculino,VICENTE ANDA AGUIRRE,Urbana,Segundo de bachillerato,Español,Bachillerato,$501 - $1000,"Me interesa trabajar con herramientas, máquinas y equipos.","Analizar datos para encontrar patrones y conclusiones., Aprender sobre nuevos descubrimientos científicos., Resolver problemas usando herramientas y software tecnológico., Compartir y recibir retroalimentación sobre tu arte., Analizar datos y realizar interpretaciones estadísticas, Resolver problemas matemáticos y encontrar soluciones eficientes","Matemáticas,  Física,  Química",Matemático/a o estadístico/a,Familia,3,Positivo,1,Falta de apoyo familiar,Medio ambiente,2,5,Contribuir a la sostenibilidad,4,Educación,3,Muyinformado/a,1,0,1,2,1,3,2,4,2,3,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
16,Masculino,VICENTE ANDA AGUIRRE,Urbana,Primero de bachillerato,Español,Postgrado,$501 - $1000,"Me interesa trabajar con herramientas, máquinas y equipos., Encuentro fascinante la ingeniería y cómo se utiliza para diseñar y construir soluciones prácticas a problemas cotidianos y globales.","Resolver problemas usando herramientas y software tecnológico., Diseñar y construir estructuras o dispositivos prácticos.",Tecnología,Ingeniero/a civil,Familia,1,Positivo,5,Dificultad en las materias,Tecnología,5,5,Mejorar la calidad de vida de las personas,5,Educación,1,Muyinformado/a,1,0,1,1,1,5,2,4,3,2,1,3,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1
18,Masculino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Primaria,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos.",Resolver problemas complejos de manera creativa.,Física,Desarrollador/a de software,Redes sociales,5,Negativo,5,Falta de recursos educativos,Medio ambiente,5,5,Mejorar la calidad de vida de las personas,5,Transporte,4,Muyinformado/a,1,0,0,3,1,1,1,2,1,3,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
17,Femenino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Secundaria,Menos de $500,"Disfruto arreglando o construyendo cosas físicas (por ejemplo, reparaciones en casa, proyectos de bricolaje)., Disfruto explorando temas relacionados con ciencia ficción y avances científicos futuristas.","Aprender sobre nuevos descubrimientos científicos., Explorar nuevas tecnologías y sus impactos en la sociedad.",Arte,Artista digital,Nadie en particular,5,Positivo,5,Dificultad en las materias,No especifica,1,1,No estoy seguro(a),1,Medio ambiente,1,Muyinformado/a,0,0,0,3,1,2,1,4,3,2,5,5,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1
16,Femenino,VICENTE ANDA AGUIRRE,Urbana,Primero de bachillerato,Español,Secundaria,Menos de $500,"Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas.","Aprender sobre nuevos descubrimientos científicos., Resolver problemas complejos de manera creativa.",Biología,Ingeniero/a civil,Familia,2,Positivo,1,Dificultad en las materias,Medio ambiente,1,1,Contribuir a la sostenibilidad,1,Educación,1,Muyinformado/a,0,0,1,1,1,2,1,4,3,3,3,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
15,Masculino,VICENTE ANDA AGUIRRE,Urbana,Primero de bachillerato,Español,Secundaria,$501 - $1000,"Me gusta jugar ajedrez, Disfruto de actividades artísticas como la música, el teatro o la literatura que involucran la creación de obras y expresiones creativas.","Resolver problemas complejos de manera creativa., Compartir y recibir retroalimentación sobre tu arte., Resolver problemas matemáticos y encontrar soluciones eficientes",Física,Desarrollador/a de software,Familia,1,Positivo,5,Falta de recursos educativos,Salud,5,4,Mejorar la calidad de vida de las personas,4,Educación,4,Muyinformado/a,1,0,1,1,1,2,2,4,1,1,1,3,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
15,Masculino,VICENTE ANDA AGUIRRE,Urbana,Primero de bachillerato,Español,Secundaria,$501 - $1000,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto arreglando o construyendo cosas físicas (por ejemplo, reparaciones en casa, proyectos de bricolaje).","Aprender sobre nuevos descubrimientos científicos., Crear obras artísticas como pinturas, dibujos o esculturas., Resolver problemas matemáticos y encontrar soluciones eficientes",Física,Investigador/a científico/a,Familia,5,Positivo,4,Falta de recursos educativos,Educación (T/S/A),4,5,Mejorar la calidad de vida de las personas,5,Medio ambiente,4,Muyinformado/a,1,0,1,1,1,2,2,4,1,5,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
17,Masculino,VICENTE ANDA AGUIRRE,Urbana,Tercero de bachillerato,Español,Secundaria,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto arreglando o construyendo cosas físicas (por ejemplo, reparaciones en casa, proyectos de bricolaje)., Me siento atraído/a por temas relacionados con mecánica y automóviles., Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas., Encuentro fascinante la ingeniería y cómo se utiliza para diseñar y construir soluciones prácticas a problemas cotidianos y globales.",Resolver problemas usando herramientas y software tecnológico.,Matemáticas,"Ingeniero/a civil, Otros","Familia,  Maestros,  Redes sociales",3,Positivo,3,Otros,Tecnología,1,1,Innovar y crear nuevas tecnologías,1,Transporte,1,Muyinformado/a,1,0,1,3,1,2,1,4,4,2,2,4,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
14,Femenino,VICENTE ANDA AGUIRRE,Urbana,Primero de bachillerato,Español,Universidad,Menos de $500,"Me gusta jugar ajedrez, Me interesa trabajar con materiales físicos (como pinturas, arcilla, telas) para crear productos artísticos., Disfruto explorando temas relacionados con arte y belleza visual en diferentes formas de expresión (dibujo, pintura, escultura)., Disfruto de actividades artísticas como la música, el teatro o la literatura que involucran la creación de obras y expresiones creativas.","Crear obras artísticas como pinturas, dibujos o esculturas., Compartir y recibir retroalimentación sobre tu arte., Resolver problemas matemáticos y encontrar soluciones eficientes","Matemáticas,  Arte","Artista digital, Otros",Familia,3,Positivo,5,Otros,Salud,5,5,No estoy seguro(a),5,Salud,5,Muyinformado/a,0,0,1,1,1,4,1,4,4,1,5,1,5,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
16,Masculino,LICENCIADO RAFAEL FIALLOS,Rural,Primero de bachillerato,Español,Universidad,Más de $3000,"Me interesa trabajar con herramientas, máquinas y equipos.,Me siento atraído/a por temas relacionados con mecánica y automóviles.,Disfruto explorando temas relacionados con ciencia ficción y avances científicos futuristas.,Me interesa trabajar con materiales físicos (como pinturas, arcilla, telas) para crear productos artísticos., Disfruto de actividades artísticas como la música, el teatro o la literatura que involucran la creación de obras y expresiones creativas.",Analizar datos para encontrar patrones y conclusiones.,Tecnología,Otros,Familia,3,Muypositivo,5,Dificultad en las materias,Medio ambiente,5,5,Contribuir a la sostenibilidad,3,Energía,5,Muyinformado/a,1,1,0,1,1,4,5,5,3,3,3,2,5,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1
14,Masculino,LICENCIADO RAFAEL FIALLOS,Rural,Primero de bachillerato,Español,Universidad,Menos de $500,Me siento atraído/a por temas relacionados con mecánica y automóviles,Explorar nuevas tecnologías y sus impactos en la sociedad.,Biología,Desarrollador/a de software,Familia,4,Positivo,5,Dificultad en las materias,Tecnología,5,5,Mejorar la calidad de vida de las personas,5,Energía,1,Muyinformado/a,1,1,0,1,1,4,1,4,3,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1
16,Femenino,LICENCIADO RAFAEL FIALLOS,Urbana,Primero de bachillerato,Español,Secundaria,$501 - $1000,"Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas.,Encuentros fascinantes los misterios sin resolver y me gusta buscar soluciones lógicas y científicas para resolverlos.,Disfruto explorando temas relacionados con arte y belleza visual en diferentes formas de expresión (dibujo, pintura, escultura).","Crear obras artísticas como pinturas, dibujos o esculturas.",Arte,Otros,Familia,2,Neutro,5,Dificultad en las materias,Salud,3,5,Mejorar la calidad de vida de las personas,3,Salud,4,Muyinformado/a,0,1,1,1,1,2,2,3,3,1,1,1,5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
17,Masculino,LICENCIADO RAFAEL FIALLOS,Urbana,Primero de bachillerato,Español,Primaria,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos.,Me siento atraído/a por temas relacionados con mecánica y automóviles.,Disfruto explorando temas relacionados con ciencia ficción y avances científicos futuristas.,Me interesa trabajar con materiales físicos (como pinturas, arcilla, telas) para crear productos artísticos., Disfruto de actividades artísticas como la música, el teatro o la literatura que involucran la creación de obras y expresiones creativas.",Diseñar y construir estructuras o dispositivos prácticos.,Física,Ingeniero/a civil,Familia,4,Neutro,4,Dificultad en las materias,Educación (T/S/A),3,3,Mejorar la calidad de vida de las personas,2,Educación,2,Muyinformado/a,1,1,1,1,1,1,1,3,3,5,1,3,5,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
15,Masculino,LICENCIADO RAFAEL FIALLOS,Urbana,Primero de bachillerato,Español,Bachillerato,Menos de $500,"Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas.,Me interesa investigar fenómenos físicos, biológicos y/o culturales para entender sus causas y efectos.",Aprender sobre nuevos descubrimientos científicos.,Física,Investigador/a científico/a,Familia,4,Positivo,5,Dificultad en las materias,Medio ambiente,3,5,Mejorar la calidad de vida de las personas,5,Salud,5,Muyinformado/a,1,1,1,1,1,3,1,4,3,3,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1
17,Femenino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos.",Analizar datos para encontrar patrones y conclusiones.,"Matemáticas,  Arte",Ingeniero/a civil,Familia,1,Positivo,1,Dificultad en las materias,Tecnología,3,4,Mejorar la calidad de vida de las personas,4,Medio ambiente,1,Nadainformado/a,0,0,0,3,1,3,1,4,3,2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
17,Masculino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Bachillerato,$2000 - $3000,"Me interesa trabajar con materiales físicos (como pinturas, arcilla, telas) para crear productos artísticos.","Aprender sobre nuevos descubrimientos científicos., Resolver problemas matemáticos y encontrar soluciones eficientes",Biología,Investigador/a científico/a,Nadie en particular,1,Muynegativo,3,Falta de recursos educativos,Tecnología,1,3,No estoy seguro(a),2,Salud,1,Nadainformado/a,1,0,0,3,1,3,4,1,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Masculino,VICENTE ANDA AGUIRRE,Rural,Segundo de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa investigar fenómenos físicos, biológicos y/o culturales para entender sus causas y efectos.","Aprender sobre nuevos descubrimientos científicos., Explorar nuevas tecnologías y sus impactos en la sociedad.",Química,"Investigador/a científico/a, Otros",Nadie en particular,1,Neutro,4,Dificultad en las materias,Tecnología,3,3,No estoy seguro(a),3,Energía,3,Nadainformado/a,1,0,0,2,1,3,1,3,3,2,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
16,Masculino,VICENTE ANDA AGUIRRE,Rural,Tercero de bachillerato,Español,Primaria,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos., Me siento atraído/a por temas relacionados con mecánica y automóviles.",Analizar datos para encontrar patrones y conclusiones.,"Tecnología,  Arte",Otros,"Familia,  Amigos",1,Positivo,5,Otros,Educación (T/S/A),2,3,Mejorar la calidad de vida de las personas,2,Medio ambiente,2,Nadainformado/a,1,0,0,3,1,1,1,4,4,5,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
17,Masculino,VICENTE ANDA AGUIRRE,Urbana,Tercero de bachillerato,Español,Secundaria,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos.",Aprender sobre nuevos descubrimientos científicos.,Física,Ingeniero/a civil,Familia,1,Positivo,1,Falta de apoyo familiar,Medio ambiente,1,1,No estoy seguro(a),5,Educación,1,Nadainformado/a,1,0,1,3,1,2,1,4,2,3,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
15,Masculino,VICENTE ANDA AGUIRRE,Urbana,Primero de bachillerato,Español,Universidad,$501 - $1000,"Disfruto de actividades artísticas como la música, el teatro o la literatura que involucran la creación de obras y expresiones creativas.",Analizar datos para encontrar patrones y conclusiones.,Tecnología,Investigador/a científico/a,Nadie en particular,5,Positivo,5,Dificultad en las materias,Tecnología,1,3,Mejorar la calidad de vida de las personas,1,Educación,5,Nadainformado/a,1,0,1,1,1,4,2,4,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0
16,Masculino,LICENCIADO RAFAEL FIALLOS,Urbana,Segundo de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos.,Disfruto arreglando o construyendo cosas físicas (por ejemplo, reparaciones en casa, proyectos de bricolaje).,Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas.,Me interesa investigar fenómenos físicos, biológicos y/o culturales para entender sus causas y efectos.,Disfruto explorando temas relacionados con ciencia ficción y avances científicos futuristas.,Encuentro fascinantes los misterios sin resolver y me gusta buscar soluciones lógicas y científicas para resolverlos.,Me interesa trabajar con materiales físicos (como pinturas, arcilla, telas) para crear productos artísticos.","Aprender sobre nuevos descubrimientos científicos.,Explorar nuevas tecnologías y sus impactos en la sociedad.,Resolver problemas usando herramientas y software tecnológico.,Diseñar y construir estructuras o dispositivos prácticos.,Resolver problemas complejos de manera creativa.,Resolver problemas matemáticos y encontrar soluciones eficientes.",Matemáticas,Investigador/a científico/a,Nadie en particular,1,Neutro,1,Dificultad en las materias,Arte,1,5,Mejorar la calidad de vida de las personas,3,Educación,1,Nadainformado/a,1,1,1,2,1,3,1,3,3,4,1,3,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
18,Masculino,VICENTE ANDA AGUIRRE,Rural,Segundo de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto explorando y aprendiendo sobre seres vivos como animales, peces y plantas., Me interesa trabajar con materiales físicos (como pinturas, arcilla, telas) para crear productos artísticos.",Analizar datos para encontrar patrones y conclusiones.,Matemáticas,Ingeniero/a civil,Nadie en particular,4,Neutro,3,Falta de recursos educativos,Tecnología,4,4,Contribuir a la sostenibilidad,4,Energía,5,Neutro,1,0,0,2,1,3,1,3,1,2,3,2,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0
15,Masculino,VICENTE ANDA AGUIRRE,Rural,Segundo de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa investigar fenómenos físicos, biológicos y/o culturales para entender sus causas y efectos.",Aprender sobre nuevos descubrimientos científicos.,Matemáticas,Ingeniero/a civil,Familia,2,Neutro,4,Dificultad en las materias,Tecnología,4,3,Innovar y crear nuevas tecnologías,4,Educación,3,Neutro,1,0,0,2,1,3,1,3,3,2,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
16,Masculino,VICENTE ANDA AGUIRRE,Rural,Segundo de bachillerato,Español,Bachillerato,Menos de $500,"Me interesa trabajar con herramientas, máquinas y equipos.",Analizar datos y realizar interpretaciones estadísticas,Matemáticas,Ingeniero/a civil,Familia,2,Neutro,2,Dificultad en las materias,Medio ambiente,4,4,Contribuir a la sostenibilidad,4,Educación,4,Neutro,1,0,0,2,1,3,1,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
